per_model_mean,per_model_std,per_model_min,per_model_25p,per_model_median,per_model_75p,per_model_max
0.04459781009176729,0.05722325438888556,0.0001062334253333,0.00812062269349205,0.02022385796139095,0.0559831921979832,0.3235540966170364
0.03374331980846899,0.043212403615684084,0.0005048962623446,0.00689685941982075,0.0188945463773065,0.04466103693838245,0.3703001539990447
0.03371136604269641,0.043173814486928176,0.0003474554895851,0.006709467595280975,0.01877256202082695,0.045066716571908326,0.369017178331716
0.029863827886997738,0.034978019319069034,0.0012364961688,0.008428831618681425,0.0152002897712042,0.037130230083012174,0.1827959221335068
0.030023904860307246,0.03513911851233923,0.0012298729577971,0.008471109610144426,0.01515807729322775,0.03887000073279325,0.1817054694247255
0.02547952055322282,0.03248074901110252,0.0002591027718161,0.00578888019655845,0.012818421436861599,0.031939252822963574,0.1332870291469238
0.025889175669852937,0.03342535261781394,0.000239998216452,0.0056814367501405,0.01376268694350275,0.032575730441598276,0.1357527918507043
0.025593822129341862,0.03281076135113786,0.0002397735075866,0.0060002371143347746,0.0126956120188789,0.03186937712707963,0.1357022721874045
0.025968068223184856,0.03269300138721142,0.000240000265541,0.005986136212998525,0.0144355785515389,0.03183234524509738,0.1357572256981232
0.03885189202064677,0.03866865594822981,0.0002920761082034,0.0130590397065071,0.0259644652735924,0.052271116644230925,0.2621988002439283
0.03861296334278656,0.03805040582065344,0.0002379174384066,0.0124210069389042,0.025244303414404798,0.05185717581526968,0.2241695203053687
0.03861285811895366,0.038050353170644584,0.0002379174384066,0.0124210069389042,0.025244303414404798,0.05185717581526968,0.2241695203053687
0.03908216129651502,0.03858274008881077,0.0005720608625081,0.011665811609653024,0.02563530546881455,0.05283376436555135,0.2608729802283832
0.03908216129651502,0.03858274008881077,0.0005720608625081,0.011665811609653024,0.02563530546881455,0.05283376436555135,0.2608729802283832
