"2,0,0","2,0,1","3,0,0","3,0,1"
0.01859836689300037,0.033382562491258004,0.01840700105035083,0.018419375248717906
0.06517958955849808,0.06767580016673286,0.06613463975638549,0.06607318009415007
0.9649762570653246,0.9696288381753114,0.9649149209143134,0.9647793791207638
0.5694610654878595,0.569414893640167,0.5694249868267066,0.569416538240154
0.07595522972022047,0.07572567009923369,0.07571967180114636,0.07573178874923026
0.3733133532167429,0.3731733392348646,0.3731902846585678,0.37326958735508375
0.21882457080829423,0.2180223536997674,0.21809266369027638,0.2181553940347953
0.10741654613762924,0.10741591619426231,0.10745007519960131,0.10747294315195981
0.86364159782581,0.8627613304552736,0.8628775927784097,0.8626572320423573
0.8058319018739981,0.8071919443959669,0.8071820813990599,0.8062533057077728
0.47142018210922876,0.4763294892077012,0.47230197783863614,0.4723011915670949
1.3213307222347244e-11,1.321330722234727e-11,1.3213307222653766e-11,1.321330722234781e-11
1.2041392742082496e-11,1.2041392742082509e-11,1.2041392742071657e-11,1.2041392742082506e-11
1.1522477573312261e-11,1.1522477573309917e-11,1.1522477573318132e-11,1.1522477573309917e-11
1.2308980940946861e-11,1.2308980940941003e-11,1.2308980940941095e-11,1.2308980940941003e-11
1.1066216187938187e-11,1.1066216187934002e-11,1.1066216187934012e-11,1.1066216187934002e-11
1.1948991835989137e-11,1.1948991836025628e-11,1.1948991836025894e-11,1.1948991836024901e-11
1.1842334067835317e-11,1.1842334068226907e-11,1.1842334068242956e-11,1.1842334068155524e-11
1.0833966120704339e-11,1.083394068344656e-11,1.0833965243508236e-11,1.0833965586036267e-11
1.0187552427637994e-11,1.018755300956796e-11,1.018755405017617e-11,1.0187552759754981e-11
1.0737796761917968e-11,1.0737800351406879e-11,1.0737796647255362e-11,1.0737796773860473e-11
1.0742978703952022e-11,1.0742978527247049e-11,1.0742978684430938e-11,1.0742978709326678e-11
1.0142064740339978e-11,1.0142064804430894e-11,1.0142064727093658e-11,1.0142064744177359e-11
9.573573035474448e-12,9.573573035099763e-12,9.573573035390577e-12,9.573573035600666e-12
1.9616606043110145,1.9478349261830548,1.9446464108590928,1.9475561716969703
0.2825177883723767,0.3415231881433349,0.27810116894382414,0.27754947809525155
0.07742295030099892,0.08341148849495116,0.0763025020617871,0.07613832757337327
0.09335636279861222,0.09601076248000011,0.0940636362047288,0.09401810247279102
1.2796152819333597,1.2927665796020797,1.2835255478261205,1.2832689323484512
0.07176829784067384,0.06776429470041213,0.07029150105350439,0.0703941317519268
0.10969289558455013,0.10997272015366559,0.11000411310204099,0.10998926494085141
0.20698241211767285,0.20731094071500403,0.2073561175406687,0.20733506823156422
0.07158801730472125,0.07155882578995792,0.07155460167402584,0.07155637669374094
0.12836225151652741,0.12740190609581784,0.12736694615724475,0.1274119844156283
0.529460950501233,0.5904102943694766,0.5347982679734343,0.5345054027834134
0.5002822338456844,0.5025368102525972,0.5094284973345437,0.5094702137541499
0.9014193059360239,0.7614727571994191,0.8901126031267177,0.8904944918865935
0.34150409236613033,0.35170547510409106,0.34050292610164123,0.34055967127593484
0.19855227504050807,0.2561996608706207,0.1936478973510806,0.19344600847696536
1.706164470144581,2.0189314466640185,1.7054201025690887,1.7035896383850389
0.28248837713373603,0.283078708611286,0.2830477192421388,0.28305952439784193
0.13602854420263613,0.13526858800891398,0.1353047452878899,0.13528365946678325
0.11658560026601285,0.12175776967340328,0.11390214948767037,0.11429491996361156
0.13468531374692552,0.13662693544567348,0.1404799107838379,0.1403771765049042
0.13483205037001156,0.12944129950133273,0.1534060879785235,0.15340337951760538
0.13715358661110863,0.15859036180743022,0.13691424323191256,0.13696617905601258
0.44881608021417746,0.44914255964120636,0.4491425595955736,0.4491425596410594
0.4935801532156609,0.4908382177679509,0.4905637460399921,0.4909471145617663
4.6527069686599996,4.634019304346637,4.626920578829719,4.636143632384246
0.41549217571272923,0.41156292717843385,0.4100976979834103,0.4120184040354464
0.3654162903755729,0.3670778412183006,0.36995107072628935,0.37472738733091004
1.3763371311795158,1.3771351772495162,1.376980788564974,1.3771610093283801
0.03525193769359914,0.035287516958411265,0.035274289379217914,0.03530603325902989
0.3792187335330884,0.37921873353306385,0.3792187335328137,0.3792187335330785
0.2773758602521057,0.27975130165294965,0.27758728199758886,0.2885885981929797
0.6394795268297524,0.6400713993292554,0.6419553850634871,0.6401560909506337
0.13675988429744104,0.13035898581509645,0.1367599205600957,0.13675988899849503
0.10993570490640485,0.11039579636289513,0.10869061916092115,0.10967813142139282
1.5715978182238768,1.6411770572226185,1.5633367012021377,1.5693375359373458
0.0991345239150659,0.09926913182318504,0.0986564238107304,0.09883125173669088
0.14141614353428456,0.14857406786744348,0.1417602614812382,0.14167647465983646
0.7502477824161847,0.7502290788512435,0.7501610954476172,0.7502402905504159
0.2577765130634832,0.2678461022374077,0.25701646718378307,0.2573807948933872
0.3732233211765432,0.37922104636367887,0.37247484498906397,0.37278514816168373
0.17360698886767256,0.17958832443292153,0.17873348048173474,0.1793418580232665
0.08484721213308433,0.08587573553753963,0.0909110858102861,0.09114340753171433
0.905793607310066,0.9098422033237267,0.906067540815223,0.9076203324372608
0.1634540702882728,0.1647190961618151,0.16336471985423337,0.16403294482062666
0.5772790326488716,0.5693820545327294,0.575454856464284,0.5774569081538301
0.7905139176056344,0.8706970438888971,0.34569978384786454,0.3476495197325691
0.43184885394081673,0.430291369490865,0.22370115256497128,0.22147458984718596
0.2623405030616292,0.29569836708137404,0.2595834586388143,0.25936661461373967
0.24287331256309655,0.22423252256273554,0.1044772014746509,0.10407347388743156
0.1706875613659108,0.16483666725027615,0.17064144934904477,0.17066206110463333
0.24657150613365653,0.21206286681797618,0.22306251201947172,0.22305602655135562
0.5231628237191256,0.5243126497220757,0.522488615360011,0.522555969116526
0.09607765358057348,0.10650365457634108,0.10020757650505852,0.09966858873449853
0.15271512601709264,0.1558747319889772,0.15480061934727884,0.15421968655146606
0.1105354278784612,0.12378148934667392,0.11118177194249375,0.11098335131487132
0.07517694770711036,0.06372653374206246,0.07520079579974516,0.07519632731772674
0.13047383128114176,0.25813276743540126,0.1288218371679347,0.128936573663159
2.4031429329218064,2.3942966308822213,2.3917964281970456,2.391931904760392
0.38217383601097876,0.3830090441946048,0.3818855780603412,0.3822921937042449
0.18143410481763875,0.16304530651055302,0.18124124273682252,0.18127493757520605
0.42266391715061413,0.5203136336525095,0.4237045987210248,0.42338802647505364
