file_name,"model (p,d,q,k)",error
2107_inverter_000.csv,"(0, 1, 2, 2)",0.0289317883757676
2107_inverter_001.csv,"(0, 1, 1, 1)",0.0339960143666686
2107_inverter_002.csv,"(0, 1, 2, 2)",0.0319908246476092
2107_inverter_003.csv,"(0, 1, 2, 1)",0.0287014637268414
2107_inverter_004.csv,"(0, 1, 2, 2)",0.0327817574049233
2107_inverter_005.csv,"(0, 1, 1, 2)",0.0290869385305685
2107_inverter_006.csv,"(0, 1, 1, 2)",0.0333630410746461
2107_inverter_007.csv,"(0, 1, 2, 2)",0.0229940869541562
2107_inverter_008.csv,"(0, 1, 2, 2)",0.0232877612719128
2107_inverter_009.csv,"(1, 1, 2, 2)",0.0211609907632581
2107_inverter_010.csv,"(1, 1, 2, 2)",0.0397840220411444
2107_inverter_011.csv,"(1, 1, 2, 2)",0.0226444090229001
2107_inverter_012.csv,"(0, 1, 2, 2)",0.0224221834603025
2107_inverter_013.csv,"(1, 1, 2, 1)",0.0412914971476145
2107_inverter_014.csv,"(0, 1, 2, 2)",0.0248310675544555
2107_inverter_015.csv,"(1, 1, 2, 2)",0.0294292961860852
2107_inverter_016.csv,"(0, 1, 2, 2)",0.0214872005539004
2107_inverter_017.csv,"(2, 1, 2, 2)",0.0312388301504239
2107_inverter_018.csv,"(1, 1, 1, 2)",0.0261142879285758
2107_inverter_019.csv,"(1, 1, 2, 1)",0.0222484129466723
2107_inverter_020.csv,"(0, 1, 2, 2)",0.0268519554684638
2107_inverter_021.csv,"(0, 1, 2, 2)",0.0223781970296806
2107_inverter_022.csv,"(1, 1, 1, 2)",0.0234415803421561
2107_inverter_023.csv,"(0, 1, 2, 2)",0.0225130604421248
7333_inverter_000.csv,"(2, 0, 1, 0)",0.0371494307227633
7333_inverter_001.csv,"(0, 1, 2, 2)",0.033554939575171
7333_inverter_002.csv,"(0, 1, 2, 1)",0.0310464980974096
7333_inverter_003.csv,"(0, 1, 2, 1)",0.0325201325572571
7333_inverter_004.csv,"(0, 1, 2, 2)",0.0322983010788372
7333_inverter_005.csv,"(0, 1, 2, 2)",0.0298933356512608
7333_inverter_006.csv,"(0, 1, 2, 1)",0.0299624867361948
7333_inverter_007.csv,"(2, 0, 1, 0)",0.0304101964181462
7333_inverter_008.csv,"(2, 0, 1, 0)",0.0327767169111012
7333_inverter_009.csv,"(2, 0, 1, 0)",0.0247886817564808
7333_inverter_010.csv,"(2, 1, 1, 0)",0.0266061583292361
7333_inverter_011.csv,"(0, 1, 2, 2)",0.0331648993735066
7333_inverter_012.csv,"(2, 0, 1, 0)",0.0322756658706856
7333_inverter_013.csv,"(2, 0, 1, 0)",0.0253437062366908
7333_inverter_014.csv,"(2, 0, 2, 0)",0.0282412689826786
7333_inverter_015.csv,"(2, 0, 1, 0)",0.029486687542486
7333_inverter_016.csv,"(1, 1, 2, 0)",0.0325692196942764
7333_inverter_017.csv,"(0, 1, 2, 2)",0.0332947750119498
7333_inverter_018.csv,"(0, 1, 2, 2)",0.0318263766451762
7333_inverter_019.csv,"(2, 1, 1, 0)",0.0319212085780219
7333_inverter_020.csv,"(2, 0, 1, 1)",0.0346284263566314
7333_inverter_021.csv,"(1, 1, 2, 1)",0.0379123049927412
7333_inverter_022.csv,"(2, 0, 1, 0)",0.0286098613654226
7333_inverter_023.csv,"(0, 1, 1, 0)",0.0335788310691652
7333_inverter_024.csv,"(2, 0, 1, 0)",0.03219045430542
7333_inverter_025.csv,"(2, 0, 2, 0)",0.0325099965927862
7333_inverter_026.csv,"(2, 0, 1, 0)",0.0336980784361966
7333_inverter_027.csv,"(1, 1, 2, 0)",0.0326332256341425
7333_inverter_028.csv,"(0, 1, 1, 1)",0.0254386037123427
7333_inverter_029.csv,"(2, 0, 2, 0)",0.0356830817398134
7333_inverter_030.csv,"(2, 0, 1, 0)",0.028883118843235
7333_inverter_031.csv,"(2, 1, 0, 1)",0.0254099121808625
7333_inverter_032.csv,"(2, 0, 1, 0)",0.027867823850117
7333_inverter_033.csv,"(2, 0, 2, 0)",0.0292462848623664
7333_inverter_034.csv,"(1, 1, 2, 0)",0.0307582761640626
