"2,0,0","2,0,1","2,1,0","2,1,1","3,0,0","3,0,1","3,1,0","3,1,1"
0.00379835308163959,0.0037983439511905734,0.01472101963074702,0.003051006888589662,0.0037983451991823953,0.003798351875096839,0.015728759052888685,0.014671325998427657
0.0036112451624572676,0.0036112182298856043,0.01715216372299754,0.005018207736361365,0.0036112207995128856,0.003611233767366646,0.017681372699186664,0.016634399836219622
0.03831691321370159,0.03831691200177571,0.00191049812163469,0.010503804733364623,0.038316912043886174,0.03831691312042951,0.001106191950443336,0.0010271546211852328
0.007945095900642008,0.007847740049233151,0.0967424284845568,0.08242615274330363,0.007954930766759632,0.007950686752987048,0.07561733699504657,0.07025278241750448
0.1088271343377499,0.10061702916899758,0.06401684897373092,0.0636932658801286,0.0968098170067473,0.10807956764457233,0.0584044615351849,0.0583973887845694
0.026658960993389564,0.0196326357257755,0.2694274931842586,0.2554725015874008,0.01938942613345585,0.0023934181372199303,0.2558198696959275,0.25470247267597823
0.03374124824717881,0.03161402550224063,0.033592498385707936,0.03391896958860455,0.0351335095534241,0.028283058373848362,0.04600890786099838,0.045968668163028095
0.001698011671410201,0.0016979405204131915,0.004650764488303457,0.19834776169925236,0.0016980288340157832,0.001698036583541437,0.0042109543282526475,0.004148275393866227
0.003051700006735847,0.0033453981988561124,0.528443946711413,0.004610232584019461,0.0036070809772803455,0.0034512773970197187,0.4256931599091967,0.41775505230882914
0.022270173242405874,0.02227017349480051,0.004019727997820237,0.006420632578412042,0.0222701735092731,0.022270173495740023,0.004125919087794405,0.003865336372195802
0.013428280394240289,0.013428277619659668,0.004228929314463401,0.014253786228080623,0.013428277331774529,0.013428277765321867,0.005600070325044204,0.0055177268166820915
0.01157306492196266,0.0017808736835838595,0.004891185903108636,0.007533127129372497,0.011572925557184857,0.011573045143754583,0.006652191273091735,0.0067588279819971045
0.005684189183579764,0.005602443023029956,0.10133899549328707,0.09137412900715942,0.005684198955170441,0.005684195649726364,0.09822089823493227,0.10183097262070831
7.136473751210292e-05,7.136419113893636e-05,0.0001968175259281705,0.0009172800025136655,7.137001114666493e-05,7.136378589809061e-05,4.017643468414076e-05,6.110633119063183e-05
0.008254101951392817,0.008385435254515907,0.01666645051779573,0.015646491053389285,0.008254082465257455,0.008254120708188071,0.017987542747234794,0.017688510230922497
0.027888600567026686,0.027888597007709008,0.017777684272173414,0.019212480333988258,0.027889101542322416,0.02788823040777704,0.0139106963295119,0.013914521094688334
0.000815916105597996,0.0009203215256170863,0.008399873658378158,0.0030899787424563483,0.0008153929748296941,0.0008155690823058795,0.009425895188040127,0.008711553126097747
0.00041919385356062024,0.0011543984787771504,0.005415995078945914,0.002106691245526319,0.0004183643662768162,0.0004186331511001514,0.00614915823712028,0.005522124748523125
2.732519667044435e-05,0.0009792845180128286,0.010979391044640869,0.008013404943983338,2.7349745806183967e-05,2.733704271150675e-05,0.011163993775006766,0.010537526944608798
0.0017287441522313195,0.0014425724677896647,0.00725913961151061,0.00663214229794909,0.001732565465869689,0.001729965448873751,0.007803895367981933,0.007513317392355584
0.0025501340326794662,0.0025500087370812097,0.007232100239637911,0.006858199248138378,0.002549997353778845,0.0025500231190810907,0.006339101603621996,0.006380481862668576
0.004132408550946267,0.004132409745652008,0.002910370666857357,0.0029289783633636465,0.004132408999990847,0.0041324085640904095,0.004301275009369968,9.829852506860849e-05
0.004219541981403614,0.004219541979710514,2.2139180340625336e-06,3.6121602064344235e-06,0.004219541888720304,0.004219541912860944,0.00016504354335744665,0.011435669695550635
0.00036990958102319806,0.0003699096292074127,0.0016833712128242523,0.005125205133287212,0.00036990962570886414,0.0003699096083753534,0.001906751949033262,0.1676094206107193
0.005818622714333849,0.0009548068756529635,0.004315768307818299,0.0020409274149618714,0.005818630455409815,0.005818624335951513,0.005247606879618833,0.004595523997612905
