time,cloud_cover,global_tilted_irradiance,proportion_daytime
1995-05-13 17:00:00,0.99,97.250824,1.0
1995-05-13 18:00:00,1.0,28.719597,1.0
1995-05-13 19:00:00,1.0,0.0,1.0
1995-05-13 20:00:00,1.0,0.0,1.0
1995-05-13 21:00:00,1.0,0.0,1.0
1995-05-13 22:00:00,0.97,0.0,1.0
1995-05-13 23:00:00,0.99,0.0,1.0
1995-05-14 00:00:00,0.98,0.0,0.0
1995-05-14 01:00:00,0.9,0.0,0.0
1995-05-14 02:00:00,0.65,0.0,0.0
1995-05-14 03:00:00,0.63,0.0,0.0
1995-05-14 04:00:00,0.73,0.0,0.2175
1995-05-14 05:00:00,0.85,75.55079,1.0
1995-05-14 06:00:00,0.63,295.49045,1.0
1995-05-14 07:00:00,0.54,548.6996,1.0
1995-05-14 08:00:00,0.07,763.33594,1.0
1995-05-14 09:00:00,0.18,917.4715,1.0
1995-05-14 10:00:00,0.22,984.4438,1.0
1995-05-14 11:00:00,0.24,976.7528,1.0
1995-05-14 12:00:00,0.39,881.48004,1.0
1995-05-14 13:00:00,0.26,745.30756,1.0
1995-05-14 14:00:00,0.59,559.0894,1.0
1995-05-14 15:00:00,0.58,365.17892,1.0
1995-05-14 16:00:00,0.6,163.9638,1.0
1995-05-14 17:00:00,0.74,70.54802,1.0
1995-05-14 18:00:00,0.54,26.276094,1.0
1995-05-14 19:00:00,0.35,0.0,0.11555555555555555
1995-05-14 20:00:00,0.23,0.0,0.0
1995-05-14 21:00:00,0.56,0.0,0.0
1995-05-14 22:00:00,0.19,0.0,0.0
1995-05-14 23:00:00,0.71,0.0,0.0
1995-05-15 00:00:00,0.96,0.0,0.0
1995-05-15 01:00:00,0.94,0.0,0.0
1995-05-15 02:00:00,0.85,0.0,0.0
1995-05-15 03:00:00,0.88,0.0,0.0
1995-05-15 04:00:00,0.79,0.0,0.23305555555555554
1995-05-15 05:00:00,0.88,59.378876,1.0
1995-05-15 06:00:00,0.95,212.48186,1.0
1995-05-15 07:00:00,0.93,408.58115,1.0
1995-05-15 08:00:00,0.54,664.9504,1.0
1995-05-15 09:00:00,0.03,903.85455,1.0
1995-05-15 10:00:00,0.02,976.54877,1.0
1995-05-15 11:00:00,0.12,904.1833,1.0
1995-05-15 12:00:00,0.33,881.2421,1.0
