time,sunshine_duration
2018-12-15,38617.98
2018-12-16,38643.387
2018-12-17,38669.79
2018-12-18,38464.207
2018-12-19,38659.7
2018-12-20,38657.074
2018-12-21,37501.902
2018-12-22,36715.727
2018-12-23,38658.92
2018-12-24,33320.445
2018-12-25,38083.652
2018-12-26,38675.516
2018-12-27,38684.35
2018-12-28,35823.645
2018-12-29,37136.082
2018-12-30,30145.672
2018-12-31,38737.535
2019-01-01,38755.55
2019-01-02,38775.324
2019-01-03,38796.805
2019-01-04,38819.94
2019-01-05,38844.703
2019-01-06,38871.0
2019-01-07,38898.832
2019-01-08,32380.352
2019-01-09,38958.816
2019-01-10,32194.2
2019-01-11,37675.15
2019-01-12,38527.98
2019-01-13,37647.836
2019-01-14,38851.08
2019-01-15,39051.426
2019-01-16,39050.35
2019-01-17,38776.387
2019-01-18,39052.85
2019-01-19,39056.465
2019-01-20,39061.508
2019-01-21,39067.945
2019-01-22,39075.75
2019-01-23,35441.938
2019-01-24,37949.133
2019-01-25,39107.094
2019-01-26,39120.1
2019-01-27,36973.125
2019-01-28,39149.79
2019-01-29,39166.42
2019-01-30,39184.22
2019-01-31,39203.156
2019-02-01,39223.207
2019-02-02,39244.35
2019-02-03,37757.824
2019-02-04,39289.83
2019-02-05,39314.125
2019-02-06,39339.42
2019-02-07,39365.71
2019-02-08,39393.133
2019-02-09,39422.043
2019-02-10,39452.39
2019-02-11,39484.094
2019-02-12,39517.086
2019-02-13,39551.3
2019-02-14,39586.66
2019-02-15,39600.0
2019-02-16,39600.0
2019-02-17,39600.0
2019-02-18,39600.0
2019-02-19,7200.0
2019-02-20,39908.934
2019-02-21,27664.254
2019-02-22,39600.0
2019-02-23,39864.52
2019-02-24,40099.926
2019-02-25,39600.0
2019-02-26,39600.0
2019-02-27,40057.562
2019-02-28,40043.973
2019-03-01,40030.72
2019-03-02,39769.72
2019-03-03,40500.81
2019-03-04,39523.42
2019-03-05,36723.895
2019-03-06,30401.414
2019-03-07,40698.22
2019-03-08,40686.316
2019-03-09,38507.777
2019-03-10,34211.19
2019-03-11,37670.35
2019-03-12,39600.0
2019-03-13,39645.89
2019-03-14,35210.766
2019-03-15,39871.57
2019-03-16,40844.875
2019-03-17,39145.906
2019-03-18,41559.293
2019-03-19,40814.64
2019-03-20,32117.607
2019-03-21,38367.086
2019-03-22,40679.0
2019-03-23,40397.41
2019-03-24,33033.49
2019-03-25,41309.027
2019-03-26,42748.188
2019-03-27,41976.05
2019-03-28,43416.72
2019-03-29,42398.96
2019-03-30,41872.99
