time,sunshine_duration
2017-01-01,13963.484
2017-01-02,32922.508
2017-01-03,0.0
2017-01-04,14935.265
2017-01-05,33077.7
2017-01-06,21855.795
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,14918.285
2017-01-10,0.0
2017-01-11,33598.848
2017-01-12,7200.0
2017-01-13,33572.633
2017-01-14,33557.734
2017-01-15,32866.9
2017-01-16,33524.645
2017-01-17,23279.691
2017-01-18,7944.4146
2017-01-19,33132.797
2017-01-20,29797.32
2017-01-21,20918.549
2017-01-22,26023.064
2017-01-23,34038.727
2017-01-24,31829.18
2017-01-25,32578.238
2017-01-26,32485.643
2017-01-27,32449.682
2017-01-28,33255.258
2017-01-29,34682.332
2017-01-30,34750.92
2017-01-31,32179.414
2017-02-01,5205.264
2017-02-02,0.0
2017-02-03,31003.004
2017-02-04,23565.727
2017-02-05,9093.171
2017-02-06,10800.0
2017-02-07,15332.201
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,32148.13
2017-02-11,37727.42
2017-02-12,37867.715
2017-02-13,23231.736
2017-02-14,37469.477
2017-02-15,18240.553
2017-02-16,38432.977
2017-02-17,0.0
2017-02-18,35126.703
2017-02-19,12215.223
2017-02-20,3600.0
2017-02-21,37528.14
2017-02-22,38991.832
2017-02-23,39057.56
2017-02-24,39123.035
2017-02-25,37067.855
2017-02-26,35587.92
2017-02-27,39317.832
2017-02-28,39382.184
2017-03-01,39446.234
2017-03-02,39611.348
2017-03-03,29858.514
2017-03-04,39610.543
2017-03-05,39863.312
2017-03-06,36023.14
2017-03-07,24969.812
2017-03-08,40023.46
2017-03-09,36674.902
2017-03-10,27436.867
2017-03-11,39025.277
2017-03-12,41322.305
2017-03-13,41586.703
2017-03-14,40041.367
2017-03-15,34283.12
2017-03-16,41129.86
2017-03-17,41963.582
2017-03-18,10993.709
2017-03-19,16732.94
2017-03-20,24119.137
2017-03-21,37932.633
2017-03-22,41431.492
2017-03-23,36549.88
2017-03-24,2394.9468
2017-03-25,41792.883
2017-03-26,5514.3804
2017-03-27,43388.414
2017-03-28,43157.51
2017-03-29,43516.82
2017-03-30,44171.69
2017-03-31,44151.41
2017-04-01,43827.582
2017-04-02,44689.05
2017-04-03,43200.0
2017-04-04,38378.81
2017-04-05,20584.303
2017-04-06,16519.41
2017-04-07,38315.035
2017-04-08,41191.453
2017-04-09,43200.0
2017-04-10,40646.99
2017-04-11,3430.5957
2017-04-12,8477.497
2017-04-13,45597.973
2017-04-14,45878.46
2017-04-15,42509.168
2017-04-16,11532.285
2017-04-17,10543.655
2017-04-18,46246.246
2017-04-19,36224.637
2017-04-20,47194.34
2017-04-21,47519.215
2017-04-22,28464.201
2017-04-23,44321.23
2017-04-24,29330.354
2017-04-25,37828.06
2017-04-26,32159.836
2017-04-27,48819.984
2017-04-28,48953.81
2017-04-29,49086.508
2017-04-30,49217.96
2017-05-01,49348.06
2017-05-02,49476.67
2017-05-03,49603.67
2017-05-04,49721.273
2017-05-05,47277.32
2017-05-06,49652.28
2017-05-07,49917.547
2017-05-08,49979.523
2017-05-09,50039.75
2017-05-10,50098.688
2017-05-11,50156.383
2017-05-12,50212.785
2017-05-13,50267.87
2017-05-14,50321.605
2017-05-15,50373.957
2017-05-16,24833.234
2017-05-17,50400.0
2017-05-18,50400.0
2017-05-19,50400.0
2017-05-20,50400.0
2017-05-21,48180.23
2017-05-22,50400.0
2017-05-23,50400.0
2017-05-24,50400.0
2017-05-25,50400.0
2017-05-26,50400.0
2017-05-27,50400.0
2017-05-28,50400.0
2017-05-29,49096.332
2017-05-30,39666.18
2017-05-31,43167.383
2017-06-01,50400.0
2017-06-02,50400.0
2017-06-03,43414.496
2017-06-04,50633.473
2017-06-05,50400.0
2017-06-06,50599.22
2017-06-07,36392.5
2017-06-08,29775.877
2017-06-09,44564.305
2017-06-10,50874.277
2017-06-11,48706.72
2017-06-12,46185.676
2017-06-13,50836.055
2017-06-14,50824.86
2017-06-15,50814.523
2017-06-16,50805.113
2017-06-17,49478.74
2017-06-18,51126.496
2017-06-19,51119.26
2017-06-20,51112.566
2017-06-21,51106.484
2017-06-22,51101.008
2017-06-23,51096.168
