time,sunshine_duration
2016-10-31,37194.938
2016-11-01,36003.305
2016-11-02,36887.28
2016-11-03,36861.15
2016-11-04,36224.85
2016-11-05,36200.734
2016-11-06,22991.246
2016-11-07,35640.203
2016-11-08,35830.8
2016-11-09,35813.582
2016-11-10,34631.69
2016-11-11,34693.035
2016-11-12,35399.4
2016-11-13,35355.85
2016-11-14,35313.83
2016-11-15,35273.355
2016-11-16,35234.492
2016-11-17,35197.26
2016-11-18,35161.707
2016-11-19,35127.87
2016-11-20,18484.217
2016-11-21,35065.516
2016-11-22,35037.086
2016-11-23,33055.445
2016-11-24,34985.94
2016-11-25,32421.861
2016-11-26,23748.54
2016-11-27,33401.492
2016-11-28,3137.8567
2016-11-29,34893.67
2016-11-30,34450.184
2016-12-01,34852.145
2016-12-02,34791.004
2016-12-03,34732.414
2016-12-04,33642.73
2016-12-05,34623.168
2016-12-06,34572.684
2016-12-07,33498.133
2016-12-08,5732.4395
2016-12-09,25355.31
2016-12-10,17990.625
2016-12-11,31390.781
2016-12-12,18860.07
2016-12-13,30628.594
2016-12-14,26642.566
2016-12-15,0.0
2016-12-16,34237.777
2016-12-17,34222.938
2016-12-18,34211.766
2016-12-19,34204.344
2016-12-20,34201.023
2016-12-21,28774.812
2016-12-22,34205.4
2016-12-23,3045.332
2016-12-24,34224.008
2016-12-25,28902.15
2016-12-26,34256.496
2016-12-27,34277.832
2016-12-28,34302.492
2016-12-29,33191.207
2016-12-30,83.75993
2016-12-31,25914.666
2017-01-01,34041.76
2017-01-02,16836.021
2017-01-03,6133.018
2017-01-04,12842.068
2017-01-05,10767.84
2017-01-06,34665.312
2017-01-07,3042.0127
2017-01-08,15179.695
2017-01-09,20122.426
2017-01-10,0.0
2017-01-11,29973.834
2017-01-12,32400.0
2017-01-13,34927.543
2017-01-14,33740.76
2017-01-15,33526.824
2017-01-16,34685.23
2017-01-17,35007.08
2017-01-18,1914.7742
2017-01-19,33075.64
2017-01-20,25494.09
2017-01-21,28070.312
2017-01-22,16236.31
2017-01-23,34529.535
2017-01-24,35215.613
2017-01-25,35252.18
2017-01-26,35290.37
2017-01-27,35412.785
2017-01-28,35420.996
2017-01-29,35414.61
2017-01-30,34961.29
2017-01-31,35507.062
2017-02-01,21344.418
2017-02-02,29725.791
2017-02-03,34907.36
2017-02-04,34901.84
2017-02-05,3721.4167
2017-02-06,4813.919
2017-02-07,20745.488
2017-02-08,7917.7573
2017-02-09,0.0
2017-02-10,2664.2715
2017-02-11,27793.7
2017-02-12,38112.03
2017-02-13,34402.195
2017-02-14,38237.76
2017-02-15,36122.066
2017-02-16,14662.223
2017-02-17,3391.185
2017-02-18,24083.39
2017-02-19,18000.0
2017-02-20,33496.695
2017-02-21,38664.13
2017-02-22,38723.863
2017-02-23,38882.523
2017-02-24,38901.914
2017-02-25,38901.406
2017-02-26,34834.312
2017-02-27,39018.31
2017-02-28,39553.668
2017-03-01,39568.87
2017-03-02,39873.613
2017-03-03,40177.227
2017-03-04,40479.83
2017-03-05,34388.977
2017-03-06,36302.418
2017-03-07,41382.438
2017-03-08,41565.055
2017-03-09,41692.848
2017-03-10,35336.336
2017-03-11,41620.508
2017-03-12,41972.445
2017-03-13,42058.633
2017-03-14,42145.586
2017-03-15,42233.21
2017-03-16,40038.758
2017-03-17,42410.04
2017-03-18,42499.043
2017-03-19,19285.77
2017-03-20,35477.684
2017-03-21,36000.0
2017-03-22,39221.164
2017-03-23,42945.684
2017-03-24,17834.607
2017-03-25,33503.78
2017-03-26,15287.879
2017-03-27,43200.0
2017-03-28,43200.0
2017-03-29,43200.0
2017-03-30,43225.094
2017-03-31,43200.0
2017-04-01,43200.0
2017-04-02,43435.977
2017-04-03,43410.97
2017-04-04,43200.0
2017-04-05,40856.766
2017-04-06,6847.3296
2017-04-07,4920.318
2017-04-08,43575.36
2017-04-09,44076.633
