date,sunshine_duration,uv_index_max,precipitation_sum,shortwave_radiation_sum,precipitation_hours,daylight_duration
12/15/18,,,,,0.0,39168.047
12/16/18,,,,,0.0,39159.004
12/17/18,,,,,0.0,39151.55
12/18/18,,,,,0.0,39145.684
12/19/18,,,,,0.0,39141.42
12/20/18,,,,,0.0,39138.766
12/21/18,,,,,0.0,39137.734
12/22/18,,,,,0.0,39138.32
12/23/18,,,,,0.0,39140.54
12/24/18,,,,,0.0,39144.395
12/25/18,,,,,0.0,39149.89
12/26/18,,,,,0.0,39157.035
12/27/18,,,,,0.0,39165.832
12/28/18,,,,,0.0,39176.277
12/29/18,,,,,0.0,39188.383
12/30/18,,,,,0.0,39202.24
12/31/18,,,,,0.0,39217.926
01/01/19,,,,,0.0,39235.414
01/02/19,,,,,0.0,39254.645
01/03/19,,,,,0.0,39275.582
01/04/19,,,,,0.0,39298.164
01/05/19,,,,,0.0,39322.36
01/06/19,,,,,0.0,39348.11
01/07/19,,,,,0.0,39375.375
01/08/19,,,,,0.0,39404.098
01/09/19,,,,,0.0,39434.234
01/10/19,,,,,0.0,39465.742
01/11/19,,,,,0.0,39498.57
01/12/19,,,,,0.0,39532.668
01/13/19,,,,,0.0,39567.996
01/14/19,,,,,0.0,39604.492
01/15/19,,,,,0.0,39642.125
01/16/19,,,,,0.0,39680.84
01/17/19,,,,,0.0,39720.594
01/18/19,,,,,0.0,39761.336
01/19/19,,,,,0.0,39803.312
01/20/19,,,,,0.0,39846.844
01/21/19,,,,,0.0,39891.86
01/22/19,,,,,0.0,39938.28
01/23/19,,,,,0.0,39986.043
01/24/19,,,,,0.0,40035.055
01/25/19,,,,,0.0,40085.254
01/26/19,,,,,0.0,40136.57
01/27/19,,,,,0.0,40188.926
01/28/19,,,,,0.0,40242.246
01/29/19,,,,,0.0,40296.477
01/30/19,,,,,0.0,40351.53
01/31/19,,,,,0.0,40407.35
02/01/19,,,,,0.0,40463.867
02/02/19,,,,,0.0,40521.016
02/03/19,,,,,0.0,40578.73
02/04/19,,,,,0.0,40636.945
02/05/19,,,,,0.0,40695.598
02/06/19,,,,,0.0,40754.63
02/07/19,,,,,0.0,40813.977
02/08/19,,,,,0.0,40873.926
02/09/19,,,,,0.0,40934.902
02/10/19,,,,,0.0,40996.836
02/11/19,,,,,0.0,41059.652
02/12/19,,,,,0.0,41123.297
02/13/19,,,,,0.0,41187.688
02/14/19,,,,,0.0,41252.76
02/15/19,,,,,0.0,41318.457
02/16/19,,,,,0.0,41384.707
02/17/19,,,,,0.0,41451.45
02/18/19,,,,,0.0,41518.625
02/19/19,,,,,0.0,41586.16
02/20/19,,,,,0.0,41654.01
02/21/19,,,,,0.0,41722.105
02/22/19,,,,,0.0,41790.387
02/23/19,,,,,0.0,41858.793
02/24/19,,,,,0.0,41927.273
02/25/19,,,,,0.0,41995.766
02/26/19,,,,,0.0,42064.215
02/27/19,,,,,0.0,42132.57
02/28/19,,,,,0.0,42201.1
03/01/19,,,,,0.0,42270.227
03/02/19,,,,,0.0,42339.902
03/03/19,,,,,0.0,42410.055
03/04/19,,,,,0.0,42480.645
03/05/19,,,,,0.0,42551.613
03/06/19,,,,,0.0,42622.914
03/07/19,,,,,0.0,42694.484
03/08/19,,,,,0.0,42766.277
03/09/19,,,,,0.0,42838.246
03/10/19,,,,,0.0,42910.33
03/11/19,,,,,0.0,42982.48
03/12/19,,,,,0.0,43054.656
03/13/19,,,,,0.0,43126.79
03/14/19,,,,,0.0,43198.844
03/15/19,,,,,0.0,43270.766
03/16/19,,,,,0.0,43342.5
03/17/19,,,,,0.0,43414.008
03/18/19,,,,,0.0,43485.223
03/19/19,,,,,0.0,43556.1
03/20/19,,,,,0.0,43626.906
03/21/19,,,,,0.0,43698.016
03/22/19,,,,,0.0,43769.39
03/23/19,,,,,0.0,43840.98
03/24/19,,,,,0.0,43912.74
03/25/19,,,,,0.0,43984.62
03/26/19,,,,,0.0,44056.59
03/27/19,,,,,0.0,44128.582
03/28/19,,,,,0.0,44200.562
03/29/19,,,,,0.0,44272.48
03/30/19,,,,,0.0,44344.293
03/31/19,,,,,0.0,44415.95
04/01/19,,,,,0.0,44487.4
04/02/19,,,,,0.0,44558.598
04/03/19,,,,,0.0,44629.496
04/04/19,,,,,0.0,44700.047
04/05/19,,,,,0.0,44770.195
04/06/19,,,,,0.0,44839.89
04/07/19,,,,,0.0,44909.09
04/08/19,,,,,0.0,44977.734
04/09/19,,,,,0.0,45046.07
04/10/19,,,,,0.0,45114.46
04/11/19,,,,,0.0,45182.855
04/12/19,,,,,0.0,45251.22
04/13/19,,,,,0.0,45319.492
04/14/19,,,,,0.0,45387.64
04/15/19,,,,,0.0,45455.605
04/16/19,,,,,0.0,45523.348
04/17/19,,,,,0.0,45590.81
04/18/19,,,,,0.0,45657.945
04/19/19,,,,,0.0,45724.703
04/20/19,,,,,0.0,45791.03
04/21/19,,,,,0.0,45856.88
04/22/19,,,,,0.0,45922.188
04/23/19,,,,,0.0,45986.914
04/24/19,,,,,0.0,46050.99
04/25/19,,,,,0.0,46114.367
04/26/19,,,,,0.0,46176.99
04/27/19,,,,,0.0,46238.79
04/28/19,,,,,0.0,46299.727
04/29/19,,,,,0.0,46360.01
04/30/19,,,,,0.0,46419.99
05/01/19,,,,,0.0,46479.62
05/02/19,,,,,0.0,46538.848
05/03/19,,,,,0.0,46597.63
05/04/19,,,,,0.0,46655.902
05/05/19,,,,,0.0,46713.63
05/06/19,,,,,0.0,46770.75
05/07/19,,,,,0.0,46827.203
