per_model_mean,per_model_std,per_model_min,per_model_25p,per_model_median,per_model_75p,per_model_max
1.1087341799640842,1.549794673916451,0.0185731178847578,0.1996908754224955,0.4801935519063913,1.3518945444097783,12.15788080954882
1.0530407048791373,1.4347943745298124,0.032914843792329,0.2347694901477872,0.5653282991477862,1.3298710434222936,12.43013894146925
1.0508667135956207,1.4356230984656855,0.0283589245611026,0.2168250122453563,0.5732819309276667,1.369444047424028,12.365689170857875
0.9015362881909293,1.0119705576003981,0.0690663097590468,0.24621607940100165,0.5244958825803294,1.0876136874877318,4.882890878029987
0.5277605220887485,0.5877996157120241,0.0116106245750907,0.18438986949711084,0.3132698370079918,0.6589563035522512,2.558103726423627
0.533575305137193,0.5841829363305255,0.0220002576337766,0.17257365205139463,0.3256855500367142,0.6178462933334812,2.543440220854911
0.5046681281768284,0.5773175092330644,0.0118955974833283,0.18162617382435292,0.3079044755501842,0.612945562972349,2.54689883458064
0.505258198776453,0.5832217134402312,0.0118847999594964,0.1813751664253144,0.3069634620845847,0.6126571534669936,2.546968773702348
1.1024125794301682,0.9668744737843664,0.0732886522722389,0.5156600914135505,0.7958261976214912,1.3779429125341782,4.937423194677209
1.1313529270081877,1.037971429943228,0.0313116960816302,0.5122912290439076,0.7727299002965489,1.3227650934725632,5.548166505440147
1.1313529270081877,1.037971429943228,0.0313116960816302,0.5122912290439076,0.7727299002965489,1.3227650934725632,5.548166505440147
1.0987749826530606,1.076482996199353,0.0220484478791302,0.4473087748633634,0.8130839177311229,1.3468026693985446,7.712657382093242
1.0987749826530606,1.076482996199353,0.0220484478791302,0.4473087748633634,0.8130839177311229,1.3468026693985446,7.712657382093242
