,system_id,inverter,meter,unknown,max_quality
72,1420,,,1.0,1.0
46,1274,,,0.9896373056994818,0.9896373056994818
28,1252,,,0.9883359253499222,0.9883359253499222
44,1272,,,0.9872372372372372,0.9872372372372372
26,1249,,,0.9871299871299871,0.9871299871299871
24,1246,,,0.9868421052631579,0.9868421052631579
33,1257,,,0.9861218195836546,0.9861218195836546
30,1254,,,0.9858323494687131,0.9858323494687131
29,1253,,,0.9845246868091379,0.9845246868091379
31,1255,,,0.9830508474576272,0.9830508474576272
32,1256,,,0.981404958677686,0.981404958677686
50,1278,0.974613248710829,,,0.974613248710829
25,1248,,,0.9736638264910922,0.9736638264910922
39,1266,,,0.9637904468412943,0.9637904468412943
71,1419,,,0.9595959595959596,0.9595959595959596
23,1244,,,0.9545823195458232,0.9545823195458232
43,1271,,,0.947940947940948,0.947940947940948
38,1265,,,0.9399075500770416,0.9399075500770416
8,1199,0.9396887159533074,,,0.9396887159533074
42,1270,,,0.9383092155369384,0.9383092155369384
79,4901,0.9350943396226415,0.6935849056603773,,0.9350943396226415
52,1284,,,0.9323232323232323,0.9323232323232323
70,1418,,,0.93125,0.93125
36,1263,,,0.9306625577812019,0.9306625577812019
13,1204,0.928521373510862,,,0.928521373510862
76,1431,,,0.928498813961369,0.928498813961369
75,1430,,,0.9279448621553885,0.9279448621553885
2,33,,,0.9047619047619048,0.9047619047619048
41,1269,,,0.9037721324095458,0.9037721324095458
80,4902,0.8301886792452831,0.8988679245283019,,0.8988679245283019
1,10,,,0.8880083420229405,0.8880083420229405
18,1221,,,0.8736920777279522,0.8736920777279522
27,1250,,,0.873015873015873,0.873015873015873
77,1432,,,0.8668208856576338,0.8668208856576338
20,1225,,,0.8634039444850256,0.8634039444850256
16,1217,,,0.8554744525547445,0.8554744525547445
17,1219,,,0.8510948905109489,0.8510948905109489
47,1275,,0.8455284552845529,,0.8455284552845529
19,1223,,,0.8440959409594095,0.8440959409594095
35,1261,,,0.8422152560083594,0.8422152560083594
15,1214,,,0.8349159970781592,0.8349159970781592
34,1258,,,0.8301158301158301,0.8301158301158301
37,1264,,,0.8135593220338984,0.8135593220338984
74,1423,0.8115341123256691,,,0.8115341123256691
78,1433,,,0.8108213312572986,0.8108213312572986
69,1403,0.808300395256917,,,0.808300395256917
6,50,,,0.7869986168741355,0.7869986168741355
12,1203,0.7649836541954231,0.7667998547039593,,0.7667998547039593
65,1332,0.7448979591836735,0.4430970149253731,,0.7448979591836735
40,1268,,,0.677257525083612,0.677257525083612
73,1422,0.6575342465753424,,,0.6575342465753424
0,4,,,0.6071503240643947,0.6071503240643947
53,1289,,,0.5842010771992818,0.5842010771992818
11,1202,0.5623565416985463,0.42120343839541546,,0.5623565416985463
3,34,,,0.5611709472521403,0.5611709472521403
7,51,,,0.5555042695591969,0.5555042695591969
4,35,,,0.5502484815019326,0.5502484815019326
66,1367,,,0.5499215891270256,0.5499215891270256
9,1200,0.5352601156069364,0.20699588477366254,,0.5352601156069364
45,1273,,,0.5287272727272727,0.5287272727272727
48,1276,,,0.5213648939440516,0.5213648939440516
49,1277,,,0.5179833999385183,0.5179833999385183
51,1283,0.4604941623676351,0.462937822427369,,0.462937822427369
10,1201,,,0.4123919308357349,0.4123919308357349
81,4903,0.35537918871252205,0.36419753086419754,,0.36419753086419754
21,1231,,,0.3233205898416166,0.3233205898416166
14,1208,0.23076923076923078,0.32290533188248094,,0.32290533188248094
22,1239,,0.3126805778491172,,0.3126805778491172
5,36,,,0.23995451099317666,0.23995451099317666
62,1325,,,0.0,0.0
64,1329,,,0.0,0.0
63,1326,,,0.0,0.0
58,1314,,,0.0,0.0
57,1310,,,0.0,0.0
55,1307,,,0.0,0.0
56,1308,,,0.0,0.0
54,1300,,,0.0,0.0
61,1321,,,0.0,0.0
59,1318,,,0.0,0.0
60,1319,,,0.0,0.0
67,1368,0.0,,,0.0
68,1369,0.0,,,0.0
