,system_id,inverter,meter,unknown,max_quality
72,1420,,,0.9994450610432852,0.9994450610432852
33,1257,,,0.99768875192604,0.99768875192604
26,1249,,,0.9974293059125964,0.9974293059125964
31,1255,,,0.9961508852963818,0.9961508852963818
24,1246,,,0.9961300309597523,0.9961300309597523
28,1252,,,0.9961149961149961,0.9961149961149961
29,1253,,,0.9955784819454679,0.9955784819454679
44,1272,,,0.9954954954954955,0.9954954954954955
30,1254,,,0.9940968122786304,0.9940968122786304
25,1248,,,0.9930662557781201,0.9930662557781201
12,1203,0.9854756717501816,0.9912854030501089,,0.9912854030501089
32,1256,,,0.9876160990712074,0.9876160990712074
52,1284,,,0.9838546922300706,0.9838546922300706
79,4901,0.9811320754716981,0.9818867924528302,,0.9818867924528302
75,1430,,,0.9805825242718447,0.9805825242718447
8,1199,0.9796122994652406,,,0.9796122994652406
50,1278,0.979381443298969,,,0.979381443298969
39,1266,,,0.9776751347190146,0.9776751347190146
76,1431,,,0.9745934959349594,0.9745934959349594
43,1271,,,0.9705197827773467,0.9705197827773467
13,1204,0.9677871148459384,,,0.9677871148459384
23,1244,,,0.9635627530364372,0.9635627530364372
2,33,,,0.9566184649610678,0.9566184649610678
38,1265,,,0.9492697924673328,0.9492697924673328
42,1270,,,0.948971820258949,0.948971820258949
80,4902,0.8777358490566037,0.9464150943396227,,0.9464150943396227
36,1263,,,0.946319018404908,0.946319018404908
21,1231,,,0.9431704885343968,0.9431704885343968
81,4903,0.9324635456638527,0.9347659247889486,,0.9347659247889486
1,10,,,0.9332777314428691,0.9332777314428691
77,1432,,,0.9270867700428901,0.9270867700428901
41,1269,,,0.92,0.92
17,1219,,,0.9176384839650146,0.9176384839650146
20,1225,,,0.9161196207148067,0.9161196207148067
78,1433,,,0.9152410575427683,0.9152410575427683
53,1289,,,0.9149623250807319,0.9149623250807319
18,1221,,,0.9082089552238806,0.9082089552238806
70,1418,,,0.90550305725403,0.90550305725403
15,1214,,,0.9008023340627279,0.9008023340627279
16,1217,,,0.8979591836734694,0.8979591836734694
11,1202,0.8956587966488957,0.56815578465063,,0.8956587966488957
46,1274,,,0.892485549132948,0.892485549132948
19,1223,,,0.8903225806451613,0.8903225806451613
71,1419,,,0.8868038740920097,0.8868038740920097
27,1250,,,0.882491186839013,0.882491186839013
5,36,,,0.8783682634730539,0.8783682634730539
37,1264,,,0.8698999230177059,0.8698999230177059
47,1275,,0.8669064748201439,,0.8669064748201439
35,1261,,,0.860125260960334,0.860125260960334
34,1258,,,0.8348765432098766,0.8348765432098766
0,4,,,0.8272043460091935,0.8272043460091935
69,1403,0.8241106719367589,,,0.8241106719367589
74,1423,0.8180105501130369,,,0.8180105501130369
6,50,,,0.8128601060152109,0.8128601060152109
73,1422,0.8090753424657534,,,0.8090753424657534
14,1208,0.7075324675324676,0.8046753246753247,,0.8046753246753247
65,1332,0.8024439918533605,0.4771526266708113,,0.8024439918533605
9,1200,0.7880622837370242,0.3936651583710407,,0.7880622837370242
40,1268,,,0.6085672082717873,0.6085672082717873
66,1367,,,0.6081504702194357,0.6081504702194357
7,51,,,0.5732748672974844,0.5732748672974844
3,34,,,0.5648097076668506,0.5648097076668506
10,1201,,,0.5613479262672811,0.5613479262672811
4,35,,,0.5521235521235521,0.5521235521235521
45,1273,,,0.5457184325108854,0.5457184325108854
48,1276,,,0.5235167537657547,0.5235167537657547
49,1277,,,0.521057485398094,0.521057485398094
51,1283,0.4917187075753462,0.4938908498506652,,0.4938908498506652
22,1239,,0.37463884430176564,,0.37463884430176564
62,1325,,,0.0,0.0
64,1329,,,0.0,0.0
63,1326,,,0.0,0.0
58,1314,,,0.0,0.0
57,1310,,,0.0,0.0
55,1307,,,0.0,0.0
56,1308,,,0.0,0.0
54,1300,,,0.0,0.0
61,1321,,,0.0,0.0
59,1318,,,0.0,0.0
60,1319,,,0.0,0.0
67,1368,0.0,,,0.0
68,1369,0.0,,,0.0
