,file_name,"model (p,d,q,k)",error
0,2107_inverter_000.csv,"(0, 1, 2, 2)",0.028931788375767625
1,2107_inverter_001.csv,"(0, 1, 1, 1)",0.03399601436666864
2,2107_inverter_002.csv,"(0, 1, 2, 2)",0.03199082464760926
3,2107_inverter_003.csv,"(0, 1, 2, 1)",0.02870146372684142
4,2107_inverter_004.csv,"(0, 1, 2, 2)",0.03278175740492333
5,2107_inverter_005.csv,"(0, 1, 1, 2)",0.029086938530568523
6,2107_inverter_006.csv,"(0, 1, 1, 2)",0.03336304107464617
7,2107_inverter_007.csv,"(0, 1, 2, 2)",0.02299408695415625
8,2107_inverter_008.csv,"(0, 1, 2, 2)",0.02328776127191288
9,2107_inverter_009.csv,"(1, 1, 2, 2)",0.021160990763258197
10,2107_inverter_010.csv,"(1, 1, 2, 2)",0.039784022041144416
11,2107_inverter_011.csv,"(1, 1, 2, 2)",0.022644409022900186
12,2107_inverter_012.csv,"(0, 1, 2, 2)",0.022422183460302572
13,2107_inverter_013.csv,"(1, 1, 2, 1)",0.04129149714761455
14,2107_inverter_014.csv,"(0, 1, 2, 2)",0.02483106755445556
15,2107_inverter_015.csv,"(1, 1, 2, 2)",0.02942929618608524
16,2107_inverter_016.csv,"(0, 1, 2, 2)",0.02148720055390045
17,2107_inverter_017.csv,"(2, 1, 2, 2)",0.031238830150423908
18,2107_inverter_018.csv,"(1, 1, 1, 2)",0.02611428792857588
19,2107_inverter_019.csv,"(1, 1, 2, 1)",0.022248412946672336
