,file_name,"model (p,d,q,k)",error
0,2107_inverter_020.csv,"(0, 1, 2, 2)",0.02685195546846381
1,2107_inverter_021.csv,"(0, 1, 2, 2)",0.02237819702968065
2,2107_inverter_022.csv,"(1, 1, 1, 2)",0.023441580342156165
3,2107_inverter_023.csv,"(0, 1, 2, 2)",0.022513060442124883
4,7333_inverter_000.csv,"(2, 0, 1, 0)",0.03714943072276334
5,7333_inverter_001.csv,"(0, 1, 2, 2)",0.03355493957517101
6,7333_inverter_002.csv,"(0, 1, 2, 1)",0.031046498097409614
7,7333_inverter_003.csv,"(0, 1, 2, 1)",0.03252013255725711
8,7333_inverter_004.csv,"(0, 1, 2, 2)",0.03229830107883725
9,7333_inverter_005.csv,"(0, 1, 2, 2)",0.029893335651260816
10,7333_inverter_006.csv,"(0, 1, 2, 1)",0.029962486736194893
11,7333_inverter_007.csv,"(2, 0, 1, 0)",0.03041019641814628
12,7333_inverter_008.csv,"(2, 0, 1, 0)",0.03277671691110128
13,7333_inverter_009.csv,"(2, 0, 1, 0)",0.024788681756480874
14,7333_inverter_010.csv,"(2, 1, 1, 0)",0.02660615832923612
15,7333_inverter_011.csv,"(0, 1, 2, 2)",0.03316489937350662
16,7333_inverter_012.csv,"(2, 0, 1, 0)",0.032275665870685644
17,7333_inverter_013.csv,"(2, 0, 1, 0)",0.025343706236690845
18,7333_inverter_014.csv,"(2, 0, 2, 0)",0.028241268982678647
19,7333_inverter_015.csv,"(2, 0, 1, 0)",0.029486687542486092
20,7333_inverter_016.csv,"(1, 1, 2, 0)",0.03256921969427646
21,7333_inverter_017.csv,"(0, 1, 2, 2)",0.03329477501194986
22,7333_inverter_018.csv,"(0, 1, 2, 2)",0.031826376645176215
23,7333_inverter_019.csv,"(2, 1, 1, 0)",0.03192120857802195
24,7333_inverter_020.csv,"(2, 0, 1, 1)",0.03462842635663146
25,7333_inverter_021.csv,"(1, 1, 2, 1)",0.03791230499274124
26,7333_inverter_022.csv,"(2, 0, 1, 0)",0.02860986136542268
27,7333_inverter_023.csv,"(0, 1, 1, 0)",0.03357883106916521
28,7333_inverter_024.csv,"(2, 0, 1, 0)",0.03219045430542008
29,7333_inverter_025.csv,"(2, 0, 2, 0)",0.03250999659278625
30,7333_inverter_026.csv,"(2, 0, 1, 0)",0.033698078436196634
31,7333_inverter_027.csv,"(1, 1, 2, 0)",0.032633225634142594
32,7333_inverter_028.csv,"(0, 1, 1, 1)",0.025438603712342703
33,7333_inverter_029.csv,"(2, 0, 2, 0)",0.035683081739813424
34,7333_inverter_030.csv,"(2, 0, 1, 0)",0.028883118843235012
35,7333_inverter_031.csv,"(2, 1, 0, 1)",0.025409912180862557
36,7333_inverter_032.csv,"(2, 0, 1, 0)",0.027867823850117063
37,7333_inverter_033.csv,"(2, 0, 2, 0)",0.029246284862366436
38,7333_inverter_034.csv,"(1, 1, 2, 0)",0.03075827616406264
39,7333_inverter_035.csv,"(2, 0, 1, 0)",0.03183101935931237
40,7333_inverter_036.csv,"(0, 1, 1, 1)",0.030987745479444665
41,7333_inverter_037.csv,"(2, 0, 1, 0)",0.029660439545829836
42,7333_inverter_038.csv,"(2, 0, 1, 0)",0.03052728372575071
43,7333_inverter_039.csv,"(2, 0, 1, 0)",0.03156357148361639
44,7333_inverter_040.csv,"(2, 0, 1, 0)",0.03467949884202285
45,7333_inverter_041.csv,"(2, 0, 1, 0)",0.02857579984473886
46,7333_inverter_042.csv,"(1, 1, 2, 0)",0.03572947004679395
47,7333_inverter_043.csv,"(1, 1, 1, 1)",0.028170532975888854
48,7333_inverter_044.csv,"(2, 0, 1, 0)",0.03550410899179892
49,7333_inverter_045.csv,"(2, 0, 1, 0)",0.03552192741334915
50,7333_inverter_046.csv,"(2, 0, 1, 0)",0.03479102752727938
51,7333_inverter_047.csv,"(2, 0, 1, 0)",0.028582093263304343
52,7333_inverter_048.csv,"(2, 0, 1, 0)",0.03148112067816961
53,7333_inverter_049.csv,"(2, 0, 1, 0)",0.03307572035439773
54,7333_inverter_050.csv,"(2, 0, 1, 0)",0.03306840832744528
55,7333_inverter_051.csv,"(2, 0, 1, 0)",0.031159347943469237
56,7333_inverter_052.csv,"(1, 1, 2, 0)",0.035231905570470685
57,7333_inverter_053.csv,"(2, 0, 1, 0)",0.042165751471002065
58,7333_inverter_054.csv,"(2, 0, 1, 0)",0.0321634830856874
59,7333_inverter_055.csv,"(1, 1, 2, 0)",0.031007124595639337
60,7333_inverter_056.csv,"(1, 1, 2, 0)",0.0324515119300569
61,7333_inverter_057.csv,"(2, 0, 1, 0)",0.025780244205032235
62,7333_inverter_058.csv,"(1, 1, 2, 2)",0.028002582223853833
63,7333_inverter_059.csv,"(1, 1, 2, 0)",0.03964900261733567
64,7333_inverter_060.csv,"(1, 1, 2, 2)",0.033622078987052106
65,7333_inverter_061.csv,"(2, 0, 1, 0)",0.03411332508227328
66,7333_inverter_062.csv,"(2, 0, 1, 0)",0.02752711251929148
67,7333_inverter_063.csv,"(2, 0, 1, 1)",0.034875598668678946
68,7333_inverter_064.csv,"(2, 0, 2, 0)",0.0334194657277111
69,7333_inverter_065.csv,"(0, 1, 1, 2)",0.03023650260760701
70,7333_inverter_066.csv,"(2, 0, 1, 0)",0.032355060535688145
71,7333_inverter_067.csv,"(1, 1, 2, 0)",0.03206016530608712
72,7333_inverter_068.csv,"(0, 1, 2, 1)",0.02834043949407967
73,7333_inverter_069.csv,"(2, 0, 1, 0)",0.034586713857328595
74,7333_inverter_070.csv,"(2, 0, 2, 0)",0.03345136224465029
